URL,Position,Domain,Title
https://basler-ferienpass.ch/,44,basler-ferienpass.ch,Basler Ferienpass: Willkommen
https://hausfeen.ch/ferienbetreuung/,44,hausfeen.ch,Ferienbetreuung Ihrer Haustiere und Wohnung ... - Hausfeen.ch
https://www.caritas-zuerich.ch/dms/file/NDU1Nw%3D%3D/2021-Flyer-Ferienwoche.pdf,45,www.caritas-zuerich.ch,Ferientage für Familien - Caritas Zürich
http://www.ps-mettmenstetten.ch/elterninformationen/ferienplane/,45,www.ps-mettmenstetten.ch,Ferienpläne - Primarschule Mettmenstetten
https://www.logiscool.com/ch/programs/camps,45,www.logiscool.com,Feriencamps - Logiscool Schweiz
https://www.schule-winkel.ch/,46,www.schule-winkel.ch,Schule Winkel
https://www.satw.ch/de/educamint/mint-angebote?tx_educamint_offer%5BfilterOffers%5D%5BactiveSearch%5D=1&tx_educamint_offer%5BfilterOffers%5D%5BL%5D=0&tx_educamint_offer%5BfilterOffers%5D%5Bofferlocation%5D=&tx_educamint_offer%5BfilterOffers%5D%5Boffertype%5D%5B0%5D=17&tx_educamint_offer%5BfilterOffers%5D%5Bsearchword%5D=lager&tx_educamint_offer%5BfilterOffers%5D%5BstoragePid%5D=128&tx_educamint_offer%5BfilterOffers%5D%5Bsubjectarea%5D=&tx_educamint_offer%5BfilterOffers%5D%5Btargetgroup%5D%5B0%5D=3&cHash=5557ec0ac3368be4426b8a371fc270d3,46,www.satw.ch,MINT-Angebote - SATW
https://kovive.ch/was-wir-machen/camps-fuer-kinder-und-jugendliche-in-der-schweiz/,47,kovive.ch,Kovive-Camps für Kinder und Jugendliche in der Schweiz
https://www.kindergarten-montessori.ch/,47,www.kindergarten-montessori.ch,Montessori Kindergarten Sonne
https://www.tuugo.ch/Companies/feriencamps/0280003581142,48,www.tuugo.ch,• Feriencamps • Zürich • - tuugo.ch
https://www.fit4future-camps.ch/de/sportcamp-zug-herbst.html,48,www.fit4future-camps.ch,Sportcamp Zug (Herbst) - «fit4future» Sportcamps
https://www.premiumswitzerland.com/de/sommercamps-schweiz.htm,48,www.premiumswitzerland.com,Sommercamps Schweiz - Premium Switzerland
http://www.footballacademy.ch/wufa-feriencamp-sommer-2011/index.html,49,www.footballacademy.ch,WUFA FERIENCAMPS - WORLD UNITED Football Academy
https://tel.search.ch/zuerich/baumackerstrasse-53/zuercher-schuelerferien,49,tel.search.ch,"Zürcher Schülerferien, Stiftung in Zürich - search.ch"
https://www.tagesstern.ch/wettingen/schulferien-betreuung/herbstferien-2016-rueckblick/,49,www.tagesstern.ch,Herbstferien 2016 Rückblick - Schulferienbetreuung / ZAG-Tage
